abilities,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,base_egg_steps,capture_rate,height_m,name,percentage_male,id,type1,type2,weight_kg,generation,is_legendary
"['Poison Point', 'Rivalry', 'Hustle']",0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,5120,235,0.4,Nidoran_,0,29,poison,,7,1,0
"['Poison Point', 'Rivalry', 'Hustle']",0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,5120,120,0.8,Nidorina,0,30,poison,,20,1,0
"['Poison Point', 'Rivalry', 'Sheer Force']",0.5,1,1,0,0.5,0.5,1,1,1,1,2,2,1,0.25,2,0.5,1,2,5120,45,1.3,Nidoqueen,0,31,poison,ground,60,1,0
"['Poison Point', 'Rivalry', 'Hustle']",0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,5120,235,0.5,Nidoran_,100,32,poison,,9,1,0
"['Poison Point', 'Rivalry', 'Hustle']",0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,5120,120,0.9,Nidorino,100,33,poison,,19.5,1,0
"['Poison Point', 'Rivalry', 'Sheer Force']",0.5,1,1,0,0.5,0.5,1,1,1,1,2,2,1,0.25,2,0.5,1,2,5120,45,1.4,Nidoking,100,34,poison,ground,62,1,0
"['Cute Charm', 'Magic Guard', 'Friend Guard']",0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,2560,150,0.6,Clefairy,24.6,35,fairy,,7.5,1,0
"['Cute Charm', 'Magic Guard', 'Unaware']",0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,2560,25,1.3,Clefable,24.6,36,fairy,,40,1,0
"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,5120,190,,Vulpix,24.6,37,fire,ice,,1,0
"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,5120,75,,Ninetales,24.6,38,fire,ice,,1,0
"['Cute Charm', 'Competitive', 'Friend Guard']",0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,2560,170,0.5,Jigglypuff,24.6,39,normal,fairy,5.5,1,0
"['Cute Charm', 'Competitive', 'Frisk']",0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,2560,50,1,Wigglytuff,24.6,40,normal,fairy,12,1,0
"['Inner Focus', 'Infiltrator']",0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,3840,255,0.8,Zubat,50,41,poison,flying,7.5,1,0
"['Inner Focus', 'Infiltrator']",0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,3840,90,1.6,Golbat,50,42,poison,flying,55,1,0
"['Chlorophyll', 'Run Away']",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,5120,255,0.5,Oddish,50,43,grass,poison,5.4,1,0
"['Chlorophyll', 'Stench']",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,5120,120,0.8,Gloom,50,44,grass,poison,8.6,1,0
"['Chlorophyll', 'Effect Spore']",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,5120,45,1.2,Vileplume,50,45,grass,poison,18.6,1,0
"['Effect Spore', 'Dry Skin', 'Damp']",2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5,5120,190,0.3,Paras,50,46,bug,grass,5.4,1,0
"['Effect Spore', 'Dry Skin', 'Damp']",2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5,5120,75,1,Parasect,50,47,bug,grass,29.5,1,0
"['Compoundeyes', 'Tinted Lens', 'Run Away']",0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,5120,190,1,Venonat,50,48,bug,poison,30,1,0
"['Shield Dust', 'Tinted Lens', 'Wonder Skin ']",0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,5120,75,1.5,Venomoth,50,49,bug,poison,12.5,1,0
"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,5120,255,,Diglett,50,50,ground,ground,,1,0
"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,5120,50,,Dugtrio,50,51,ground,ground,,1,0
"['Pickup', 'Technician', 'Unnerve', 'Pickup', 'Technician', 'Rattled']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,5120,255,,Meowth,50,52,normal,dark,,1,0
"['Limber', 'Technician', 'Unnerve', 'Fur Coat', 'Technician', 'Rattled']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,5120,90,,Persian,50,53,normal,dark,,1,0
"['Damp', 'Cloud Nine', 'Swift Swim']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,190,0.8,Psyduck,50,54,water,,19.6,1,0
"['Damp', 'Cloud Nine', 'Swift Swim']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,75,1.7,Golduck,50,55,water,,76.6,1,0
"['Vital Spirit', 'Anger Point', 'Defiant']",0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,5120,190,0.5,Mankey,50,56,fighting,,28,1,0
"['Vital Spirit', 'Anger Point', 'Defiant']",0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,5120,75,1,Primeape,50,57,fighting,,32,1,0
"['Intimidate', 'Flash Fire', 'Justified']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,5120,190,0.7,Growlithe,75.4,58,fire,,19,1,0
"['Intimidate', 'Flash Fire', 'Justified']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,5120,75,1.9,Arcanine,75.4,59,fire,,155,1,0
"['Water Absorb', 'Damp', 'Swift Swim']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,255,0.6,Poliwag,50,60,water,,12.4,1,0
"['Water Absorb', 'Damp', 'Swift Swim']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,120,1,Poliwhirl,50,61,water,,20,1,0
"['Water Absorb', 'Damp', 'Swift Swim']",0.5,0.5,1,2,2,1,0.5,2,1,2,1,0.5,1,1,2,0.5,0.5,0.5,5120,45,1.3,Poliwrath,50,62,water,fighting,54,1,0
"['Synchronize', 'Inner Focus', 'Magic Guard']",2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,5120,200,0.9,Abra,75.4,63,psychic,,19.5,1,0
"['Synchronize', 'Inner Focus', 'Magic Guard']",2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,5120,100,1.3,Kadabra,75.4,64,psychic,,56.5,1,0
"['Synchronize', 'Inner Focus', 'Magic Guard']",2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,5120,50,1.5,Alakazam,75.4,65,psychic,,48,1,0
"['Guts', 'No Guard', 'Steadfast']",0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,5120,180,0.8,Machop,75.4,66,fighting,,19.5,1,0
"['Guts', 'No Guard', 'Steadfast']",0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,5120,90,1.5,Machoke,75.4,67,fighting,,70.5,1,0
"['Guts', 'No Guard', 'Steadfast']",0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,5120,45,1.6,Machamp,75.4,68,fighting,,130,1,0
"['Chlorophyll', 'Gluttony']",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,5120,255,0.7,Bellsprout,50,69,grass,poison,4,1,0
"['Chlorophyll', 'Gluttony']",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,5120,120,1,Weepinbell,50,70,grass,poison,6.4,1,0
"['Chlorophyll', 'Gluttony']",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,5120,45,1.7,Victreebel,50,71,grass,poison,15.5,1,0
"['Clear Body', 'Liquid Ooze', 'Rain Dish']",0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5,5120,190,0.9,Tentacool,50,72,water,poison,45.5,1,0
"['Clear Body', 'Liquid Ooze', 'Rain Dish']",0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5,5120,60,1.6,Tentacruel,50,73,water,poison,55,1,0
"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,3840,255,,Geodude,50,74,rock,ground,,1,0
"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,3840,120,,Graveler,50,75,rock,ground,,1,0
"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,3840,45,,Golem,50,76,rock,ground,,1,0
"['Run Away', 'Flash Fire', 'Flame Body']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,5120,190,1,Ponyta,50,77,fire,,30,1,0
"['Run Away', 'Flash Fire', 'Flame Body']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,5120,60,1.7,Rapidash,50,78,fire,,95,1,0
"['Oblivious', 'Own Tempo', 'Regenerator']",2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,5120,190,1.2,Slowpoke,50,79,water,psychic,36,1,0
"['Oblivious', 'Own Tempo', 'Regenerator']",2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,5120,75,1.6,Slowbro,50,80,water,psychic,78.5,1,0
"['Magnet Pull', 'Sturdy', 'Analytic']",0.5,1,0.5,0.5,0.5,2,2,0.25,1,0.5,4,0.5,0.5,0,0.5,0.5,0.25,1,5120,190,0.3,Magnemite,,81,electric,steel,6,1,0
"['Magnet Pull', 'Sturdy', 'Analytic']",0.5,1,0.5,0.5,0.5,2,2,0.25,1,0.5,4,0.5,0.5,0,0.5,0.5,0.25,1,5120,60,1,Magneton,,82,electric,steel,60,1,0
"['Keen Eye', 'Inner Focus', 'Defiant']",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,5120,45,0.8,Farfetch'd,50,83,normal,flying,15,1,0
"['Run Away', 'Early Bird', 'Tangled Feet']",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,5120,190,1.4,Doduo,50,84,normal,flying,39.2,1,0
"['Run Away', 'Early Bird', 'Tangled Feet']",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,5120,45,1.8,Dodrio,50,85,normal,flying,85.2,1,0
"['Thick Fat', 'Hydration', 'Ice Body']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,190,1.1,Seel,50,86,water,,90,1,0
"['Thick Fat', 'Hydration', 'Ice Body']",1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5,5120,75,1.7,Dewgong,50,87,water,ice,120,1,0
"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']",0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,5120,190,,Grimer,50,88,poison,poison,,1,0
"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']",0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,5120,75,,Muk,50,89,poison,poison,,1,0
"['Shell Armor', 'Skill Link', 'Overcoat']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,190,0.3,Shellder,50,90,water,,4,1,0
"['Shell Armor', 'Skill Link', 'Overcoat']",1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5,5120,60,1.5,Cloyster,50,91,water,ice,132.5,1,0
['Levitate'],0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1,5120,190,1.3,Gastly,50,92,ghost,poison,0.1,1,0
['Levitate'],0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1,5120,90,1.6,Haunter,50,93,ghost,poison,0.1,1,0
['Cursed Body'],0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1,5120,45,1.5,Gengar,50,94,ghost,poison,40.5,1,0
"['Rock Head', 'Sturdy', 'Weak Armor']",1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,6400,45,8.8,Onix,50,95,rock,ground,210,1,0
"['Insomnia', 'Forewarn', 'Inner Focus']",2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,5120,190,1,Drowzee,50,96,psychic,,32.4,1,0
"['Insomnia', 'Forewarn', 'Inner Focus']",2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,5120,75,1.6,Hypno,50,97,psychic,,75.6,1,0
"['Hyper Cutter', 'Shell Armor', 'Sheer Force']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,225,0.4,Krabby,50,98,water,,6.5,1,0
"['Hyper Cutter', 'Shell Armor', 'Sheer Force']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,60,1.3,Kingler,50,99,water,,60,1,0
"['Soundproof', 'Static', 'Aftermath']",1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,5120,190,0.5,Voltorb,,100,electric,,10.4,1,0
"['Soundproof', 'Static', 'Aftermath']",1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,5120,60,1.2,Electrode,,101,electric,,66.6,1,0
"['Chlorophyll', 'Harvest']",4,2,1,0.5,1,0.5,2,2,2,0.5,0.5,2,1,2,0.5,1,1,0.5,5120,90,0.4,Exeggcute,50,102,grass,psychic,2.5,1,0
"['Chlorophyll', 'Harvest', 'Frisk', 'Harvest']",4,2,1,0.5,1,0.5,2,2,2,0.5,0.5,2,1,2,0.5,1,1,0.5,5120,45,,Exeggutor,50,103,grass,psychic,,1,0
"['Rock Head', 'Lightningrod', 'Battle Armor']",1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,5120,190,0.4,Cubone,50,104,ground,,6.5,1,0
"['Rock Head', 'Lightningrod', 'Battle Armor', 'Cursed Body', 'Lightningrod', 'Rock Head']",1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,5120,75,,Marowak,50,105,ground,fire,,1,0
"['Limber', 'Reckless', 'Unburden']",0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,6400,45,1.5,Hitmonlee,100,106,fighting,,49.8,1,0
"['Keen Eye', 'Iron Fist', 'Inner Focus']",0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,6400,45,1.4,Hitmonchan,100,107,fighting,,50.2,1,0
"['Own Tempo', 'Oblivious', 'Cloud Nine']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,5120,45,1.2,Lickitung,50,108,normal,,65.5,1,0
['Levitate'],0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,5120,190,0.6,Koffing,50,109,poison,,1,1,0
['Levitate'],0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,5120,60,1.2,Weezing,50,110,poison,,9.5,1,0
"['Lightningrod', 'Rock Head', 'Reckless']",1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,5120,120,1,Rhyhorn,50,111,ground,rock,115,1,0
"['Lightningrod', 'Rock Head', 'Reckless']",1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,5120,60,1.9,Rhydon,50,112,ground,rock,120,1,0
"['Natural Cure', 'Serene Grace', 'Healer']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,10240,30,1.1,Chansey,0,113,normal,,34.6,1,0
"['Chlorophyll', 'Leaf Guard', 'Regenerator']",2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,5120,45,1,Tangela,50,114,grass,,35,1,0
"['Early Bird', 'Scrappy', 'Inner Focus']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,5120,45,2.2,Kangaskhan,0,115,normal,,80,1,0
"['Swift Swim', 'Sniper', 'Damp']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,225,0.4,Horsea,50,116,water,,8,1,0
"['Poison Point', 'Sniper', 'Damp']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,75,1.2,Seadra,50,117,water,,25,1,0
"['Swift Swim', 'Water Veil', 'Lightningrod']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,225,0.6,Goldeen,50,118,water,,15,1,0
"['Swift Swim', 'Water Veil', 'Lightningrod']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,60,1.3,Seaking,50,119,water,,39,1,0
"['Illuminate', 'Natural Cure', 'Analytic']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,225,0.8,Staryu,,120,water,,34.5,1,0
"['Illuminate', 'Natural Cure', 'Analytic']",2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,5120,60,1.1,Starmie,,121,water,psychic,80,1,0
"['Soundproof', 'Filter', 'Technician']",1,1,0,1,1,0.25,1,1,2,1,1,1,1,2,0.5,1,2,1,6400,45,1.3,Mr. Mime,50,122,psychic,fairy,54.5,1,0
"['Swarm', 'Technician', 'Steadfast']",0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,6400,45,1.5,Scyther,50,123,bug,flying,56,1,0
"['Oblivious', 'Forewarn', 'Dry Skin']",2,2,1,1,1,1,2,1,2,1,1,0.5,1,1,0.5,2,2,1,6400,45,1.4,Jynx,0,124,ice,psychic,40.6,1,0
"['Static', 'Vital Spirit']",1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,6400,45,1.1,Electabuzz,75.4,125,electric,,30,1,0
"['Flame Body', 'Vital Spirit']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,6400,45,1.3,Magmar,75.4,126,fire,,44.5,1,0
"['Hyper Cutter', 'Mold Breaker', 'Moxie']",1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,6400,45,1.5,Pinsir,50,127,bug,,55,1,0
"['Intimidate', 'Anger Point', 'Sheer Force']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,5120,45,1.4,Tauros,100,128,normal,,88.4,1,0
"['Swift Swim', 'Rattled']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,1280,255,0.9,Magikarp,50,129,water,,10,1,0
"['Intimidate', 'Moxie']",0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5,1280,45,6.5,Gyarados,50,130,water,flying,235,1,0
"['Water Absorb', 'Shell Armor', 'Hydration']",1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5,10240,45,2.5,Lapras,50,131,water,ice,220,1,0
"['Limber', 'Imposter']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,5120,35,0.3,Ditto,,132,normal,,4,1,0
"['Run Away', 'Adaptability', 'Anticipation']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,8960,45,0.3,Eevee,88.1,133,normal,,6.5,1,0
"['Water Absorb', 'Hydration']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,8960,45,1,Vaporeon,88.1,134,water,,29,1,0
"['Volt Absorb', 'Quick Feet']",1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,8960,45,0.8,Jolteon,88.1,135,electric,,24.5,1,0
"['Flash Fire', 'Guts']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,8960,45,0.9,Flareon,88.1,136,fire,,25,1,0
"['Trace', 'Download', 'Analytic']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,5120,45,0.8,Porygon,,137,normal,,36.5,1,0
"['Swift Swim', 'Shell Armor', 'Weak Armor']",1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,7680,45,0.4,Omanyte,88.1,138,rock,water,7.5,1,0
